decision_date,best_prior
2021-11-12,30
2021-11-12,30
2021-11-12,38
2021-11-13,30
2021-11-13,30
2021-11-13,35
2021-11-13,30
2021-11-13,39
2021-11-13,40
2021-11-13,30
2021-11-14,34
2021-11-14,33
2021-11-16,36
2021-11-16,41
2021-11-16,36
2021-11-16,33
2021-11-16,33
2021-11-16,30
2021-11-17,31
2021-11-17,31
2021-11-20,40
2021-11-22,31
2021-11-23,31
2021-11-25,31
2021-11-26,31
2021-11-27,33
2021-11-27,31
2021-11-28,31
2021-11-28,31
2021-11-28,31
2021-11-28,31
2021-11-28,31
2021-11-29,37
2021-11-30,39
2021-11-30,36
2021-12-02,40
2021-12-02,30
2021-12-03,33
2021-12-03,53
2021-12-03,37
2021-12-03,30
2021-12-03,31
2021-12-03,33
2021-12-04,34
2021-12-04,88
2021-12-04,46
2021-12-04,40
2021-12-04,43
2021-12-04,65
2021-12-04,81
2021-12-05,51
2021-12-05,47
2021-12-06,34
2021-12-06,33
2021-12-07,51
2021-12-07,42
2021-12-07,53
2021-12-07,43
2021-12-07,53
2021-12-09,44
2021-12-09,51
2021-12-10,44
2021-12-10,43
2021-12-12,53
2021-12-12,53
2021-12-13,43
2021-12-13,36
2021-12-13,36
2021-12-13,51
2021-12-13,43
2021-12-14,46
2021-12-14,44
2021-12-14,44
2021-12-14,58
2021-12-14,43
2021-12-14,45
2021-12-15,51
2021-12-15,43
2021-12-15,51
2021-12-16,44
2021-12-16,47
2021-12-17,43
2021-12-17,51
2021-12-18,46
2021-12-18,47
2021-12-18,44
2021-12-18,53
2021-12-18,46
2021-12-19,44
2021-12-19,48
2021-12-19,46
2021-12-19,44
2021-12-20,53
2021-12-20,45
2021-12-20,46
2021-12-20,47
2021-12-20,47
2021-12-20,46
2021-12-20,51
2021-12-20,47
2021-12-21,43
2021-12-22,51
2021-12-22,45
2021-12-22,47
2021-12-22,53
2021-12-22,51
2021-12-23,58
2021-12-23,51
2021-12-23,53
2021-12-23,58
2021-12-23,43
2021-12-23,68
2021-12-23,51
2021-12-24,42
2021-12-24,37
2021-12-24,51
2021-12-24,33
2021-12-24,51
2021-12-25,39
2021-12-25,35
2021-12-25,51
2021-12-25,43
2021-12-26,34
2021-12-26,68
2021-12-26,40
2021-12-26,33
2021-12-27,49
2021-12-27,51
2021-12-27,43
2021-12-28,51
2021-12-28,40
2021-12-28,42
2021-12-29,42
2021-12-29,43
2021-12-29,33
2021-12-30,34
2021-12-30,33
2021-12-30,36
2021-12-31,56
2021-12-31,53
2021-12-31,32
2021-12-31,37
2022-01-01,35
2022-01-02,44
2022-01-02,44
2022-01-03,35
2022-01-03,44
2022-01-03,49
2022-01-04,50
2022-01-04,68
2022-01-04,40
2022-01-04,33
2022-01-04,49
2022-01-05,33
2022-01-05,49
2022-01-05,36
2022-01-05,43
2022-01-06,36
2022-01-06,48
2022-01-06,42
2022-01-06,42
2022-01-07,36
2022-01-07,50
2022-01-07,35
2022-01-08,56
2022-01-08,49
2022-01-08,63
2022-01-08,47
2022-01-08,36
2022-01-09,65
2022-01-09,65
2022-01-09,44
2022-01-09,36
2022-01-09,65
2022-01-10,34
2022-01-10,37
2022-01-10,48
2022-01-11,36
2022-01-11,44
2022-01-11,61
2022-01-11,36
2022-01-12,41
2022-01-12,42
2022-01-13,43
2022-01-13,43
2022-01-13,53
2022-01-13,37
2022-01-13,37
2022-01-13,41
2022-01-13,63
2022-01-13,43
2022-01-13,37
2022-01-13,63
2022-01-13,43
2022-01-13,34
2022-01-13,39
2022-01-13,43
2022-01-13,41
2022-01-13,42
2022-01-14,38
2022-01-14,42
2022-01-14,65
2022-01-14,48
2022-01-14,41
2022-01-14,38
2022-01-14,55
2022-01-14,42
2022-01-14,36
2022-01-14,43
2022-01-14,40
2022-01-14,37
2022-01-14,61
2022-01-14,62
2022-01-15,37
2022-01-15,42
2022-01-15,55
2022-01-16,34
2022-01-16,61
2022-01-16,42
2022-01-17,42
2022-01-18,42
2022-01-18,34
2022-01-18,42
2022-01-19,42
2022-01-19,42
2022-01-20,42
2022-01-20,42
2022-01-20,67
2022-01-21,38
2022-01-23,42
2022-01-23,34
2022-01-23,42
2022-01-23,42
2022-01-23,42
2022-01-23,42
2022-01-23,42
2022-01-24,42
2022-01-24,42
2022-01-25,42
2022-01-25,42
2022-01-27,42
2022-01-27,42
2022-01-29,42
2022-01-30,42
2022-01-30,42
2022-01-30,42
2022-01-30,42
2022-01-30,42
2022-02-01,42
2022-02-01,42
2022-02-01,42
2022-02-01,42
2022-02-03,42
2022-02-03,42
2022-02-03,42
2022-02-04,42
2022-02-04,42
2022-02-04,34
2022-02-04,42
2022-02-04,42
2022-02-04,42
